Attribute count,Role,Background,Facetats,Eyes,Eyes Items,Form,Hats,Mouth,Hair,Neck,Hand with Items,Upper Part,Random Things,Ears,Nose,Genesis Role?,Companions,Beard,Coats,Bg Feature,mint,rank
12,Artist,Light Solana Gradient,None,Red,Green Hipster Glasses,Red Gradient,None,Banana Joint,Red Beanie,None,Graffiti Spray Can Red Top Red Fur,Red Puff Puff Hoodie,Abstract Canvas,Paintbrush Behind Ear,None,Yes,None,None,None,None,5Y8GYnqWgK2vQ29KFZjC8mVkV1gBev8JDYAnUjT1R9o4,734
11,Farmer,Space 4,None,Awake Green,None,Light Brown,None,Puffin,Yellow Beanie Light Brown Fur,None,Farmer Scissors Light Brown Fur,Yellow Farmer Overall,Questionmark,None,None,Yes,None,Full Light Beard,None,None,8t7Ep6r3i9Qc7gHsats2gez4pYjrEQYxDw7MVY1d8KCP,735
11,Businessman,Brown Plain,None,Black,Green-orange Glasses,Light Brown,Banana Hairband,Biting,Facon Style Light Brown,None,Metal Controller Light Brown Fur,Green Business Suit With Tie,None,None,None,Yes,None,None,None,None,85vje2Jbz6nW9m9tsaBdd36nS1LVJAHqQYCsCvANvpdi,736
12,Artist,Matrix,None,Awake Green,Red John Lennon Glasses,Light Brown,None,Grinding,Long Wavy Light Brown,Necklace,Graffiti Spray Can Red Top Light Brown Fur,Hawaiian Shirt,Abstract Canvas,None,None,Yes,None,None,None,None,EX88Ki6taJCAihjo9P8caxXUte2S6Lm6HBmPtRtVo7pw,737
12,Businessman,Space 3,None,Red,Blue Flash Eye,Red Gradient,None,Banana Joint,Backstreetboy Style Red,Necklace,Grey Controller Red Fur,Brown Business Suit With Bow Tie & Hat,None,Golden Earring,None,Yes,None,None,None,None,FnPrZ8ECqUoFhfFhC9eg4s6eNHVW9RydNapu4m65nuPL,738
10,Farmer,Blue,None,Red,Red Weed Glasses,Light Blonde,None,Biting,Red Beanie Light Blonde Fur,Hippie Necklace,Brownie Light Blonde Fur,Blue Hodl Hoodie,None,None,None,None,None,None,None,None,G5KVpuUY8d44Gi9hWqY9qe5NCjwGMwMZJbDT4r8qnwXK,739
11,Artist,Lightbrown,None,Angry,None,Leopard,None,Smoking Joint,Long Wavy Leo,None,Poker Cards Leo Fur,Brown Hippie Top,Abstract Canvas,None,None,Yes,Happy Weedy,None,None,None,4XB2CPwtMxbTRtrSvRC6L1bULTSKah8utNP334Mv2Zeo,740
12,Artist,Hippie 1,None,Red,Green Glasses,Light Brown,None,Gentle Smile,Red Beanie Light Brown Fur,Hippie Necklace,Pink Donut Light Brown Fur,Yellow Poloshirt With Color Splashes,None,Paintbrush Behind Ear,None,Yes,None,None,None,None,8Psoqcie2MMEEPhAWcW6N9fbUiRf3G1B3dypPJNbLXM,741
11,Chimpion,Green Gradient,None,Red,Green Glasses,Red Gradient,Weed Hairband,Rainbow Teeth,Facon Style Red,None,Banana Pipe Red Fur,Weed Shirt,Questionmark,None,None,None,None,None,None,None,9UPFAdoLDRfm1uLkKPcZhFrSmCeUqNDBVq2ce1otkktS,742
10,Farmer,Yellow,None,Red,Solana Weed Glasses,Red Gradient,Dark Grey Headphones,Puffin,None,Hippie Necklace,Banana Pipe Red Fur,Green Shirt,None,None,None,None,None,None,None,None,3HrJ6wMXRsLhqTH4FcQum4pqf83V3Fbes47WzbAY3Juf,743
10,Artist,Violet,None,Black,Red John Lennon Glasses,White,None,Puffin,Long Wavy White,None,Joint White Fur,Chef Custome,None,None,None,Yes,None,None,None,None,2MNn3zNWxjAdPCR6SceuhvpF378axqgmBi8phbzXB2xr,744
12,Businessman,Yellow,None,Blue,None,Light Blonde,Beige Flat Cap,Banana Joint,Smooth Long Light Blonde,Necklace,Brownie Light Blonde Fur,Business Suit With Red Tie,None,None,None,Yes,None,J Beard,None,None,GAvsV95vx14ygA7VPeaM1W2yRvY7nxdxGGGabF3HfPXj,745
14,Scientist,Lightbrown,Always Stoned,Blue,Green Glasses,Light Brown,None,Money Joint,Red Beanie Light Brown Fur,None,Metal Controller Light Brown Fur,Lab Coat Weed Tie Suit,Sciece Bong,Golden Earring,None,Yes,Weedy With Glasses,None,None,None,GH8wWrnQC3YLmevNSvh9XKi8AyjUFDVyuSU7vDK4jCgt,746
11,Artist,Space 3,None,Sad,None,Light Brown,None,Laughing,Yellow Beanie Light Brown Fur,None,Graffiti Spray Can Red Top Light Brown Fur,Blue Weed Shirt,Abstract Canvas,None,Nose Piercing,Yes,None,None,None,None,EkrJ56JtdAiDA3C4oBbVGQx7eEQ6LTmn8GCVqhwUaeRU,747
9,Artist,Hippie 3,None,Black,None,Leopard,None,Biting,None,None,Poker Cards Leo Fur,Green Poloshirt,None,Paintbrush Behind Ear,None,Yes,None,None,None,None,5HuQMKBbq3NFUwDbuK4jScxi6uckebxBu818eAb8EjNp,748
13,Farmer,Space 4,None,Black,Green Monocle,Light Brown,None,Rainbow Teeth,Long Wavy Light Brown,Hippie Necklace,Banana Pipe Light Brown Fur,Brown Hippie Top,None,Double Piercing,None,None,Happy Weedy,Full Light Beard,None,None,BckP5FkRhHCEtZhhHiiXfRWuX8ht37UbUkqwjjcfNt24,749
12,Artist,Glass Pastel,None,Black,Green John Lennon Glasses,Dark Blonde,Green Flat Cap,Puffin,Smooth Long Dark Blonde,None,None,Blue Puff Puff Hoodie,Abstract Canvas,None,None,Yes,None,Beard,None,None,8SBZkzpUNtU96tvkdQzRHPWU7rCiyUYs7RTopNgk7Djo,750
11,Scientist,Matrix,None,Red,None,Choc Brown,Blue Beret,Grinding,Long Wavy Chocbrown,Necklace,Test Tube Chocbrown Fur,Lab Coat Jamaica Tee,None,None,None,Yes,None,None,None,None,Ecj2eivNcpu7zoqw5coM1xcr3eoLFC1icusdZhGReHet,751
13,Farmer,Brown Plain,Always Stoned,Black,None,Rainbow,Blue Astro Helmet,Rainbow Teeth,Long Wavy Rainbow,None,Pink Donut Rainbow Fur,Violet Canna Jacket,Cannabis Plant,None,None,Yes,None,None,Green Trenchcoat,None,2t4XEtxLd23MYjAx1mXwTv1ApFv7RG9yjszoETWw19mL,752
11,Farmer,Glass Pastel,None,Awake Green,Green John Lennon Glasses,Rainbow,None,Rainbow Teeth,None,None,Farmer Scissors Rainbow Fur,Blue Farmer Overall,Cannabis Plant,Double Piercing,None,Yes,None,None,None,None,K5cYSQyRaMyJEVTEWKoYomL9ZwCYzx4S2mEdQ2ij4Ga,753
13,Farmer,Brown Plain,None,Red,Bright Bue Eyes,Rainbow,Pothat,Biting,Long Wavy Rainbow,None,Watering Can Rainbow Fur,Sac Shirt,Cannabis Plant,None,Nose Piercing,Yes,None,None,None,None,m6MkUuVCq5sAmoz9r1r8veMyj4PdLfgX2xyunVLx5oB,754
10,Farmer,Brown Plain,None,Black,None,Light Blonde,None,Eating Fries,Long Wavy Light Blonde,None,Watering Can Light Blonde Fur,Pink Canna Jacket,Cannabis Plant,None,None,Yes,None,None,None,None,3H9y5tp2AHLKLK6eLzwEWKpzVKiepjdA8zSCvssSW9jN,755
10,Farmer,Brown Plain,None,Angry,None,Red Gradient,None,Smoking Joint,None,None,Farmer Scissors Red Fur,Sac Shirt,Cannabis Plant,None,None,Yes,None,J Beard,None,None,C4FHnJkAkyQrHawwCnga8EbUDoDJTzKbyRmewgieLmjs,756
10,Farmer,Hippie 2,None,Angry,Red John Lennon Glasses,Light Brown,Banana Hairband,Gentle Smile,Facon Style Light Brown,None,Green Donut Light Brown Fur,Pink Hippie Top,None,None,None,None,None,None,None,None,ChscyitEWkY5nKf39iMjPL7PUXDorYQXzRFH453kVTwn,757
13,Scientist,Street Graffiti,Always Stoned,Red,None,Rainbow,Solana Pothat,Gentle Smile,Long Wavy Rainbow,None,Brownie Rainbow Fur,Pink Hippie Top,Questionmark,None,Nose Piercing,None,None,Blonde Moustache,None,None,8MyRNh46kBcfJkNxLW9ufZYWz9kc7KW1E3A14dUGwRo2,758
11,Farmer,Brown Plain,None,Red,None,Light Blonde,None,Biting,Red Beanie Light Blonde Fur,None,Farmer Scissors Light Blonde Fur,Blue Puff Puff Hoodie,None,Double Piercing,None,Yes,Weedy With Glasses,None,None,None,6gdHHCnNAv8byqAijnpKEz6J2d7FaLM5kkfS9Kk9jW7a,759
10,Farmer,Street Graffiti,None,Red,Green John Lennon Glasses,Rainbow,Beige Flat Cap,Rolled Joint,Smooth Long Rainbow,None,Green Donut Rainbow Fur,Pink Hippie Top,None,None,None,None,None,None,None,None,DeYFFJxwzce3kAQbrQacTvW9HtYndtiArTffawMMN2py,760
10,Artist,Hippie 2,None,Red,Thug Glasses,Dark Blonde,Dark Grey Headphones,Rainbow Teeth,Smooth Long Dark Blonde,None,None,Red Puff Puff Hoodie,None,None,None,None,Yellow Parrot,None,None,None,YxrHxj2B8jGWxc38zJ7ZPTBdQfwpdqHSpFmvau9KqgV,761
11,Chimpion,Solana,None,Awake Green,Golden Glasses,White,Grey Headphones,Grinding,Long Wavy White,Weed Chain,Joint White Fur,Green Shirt,None,None,None,None,None,None,None,None,9kXAKv6cgvTC8iaZ6vFhFMphztyj72RVzsxj98TmyjLU,762
10,Businessman,Light Solana Gradient,None,Awake Green,None,Light Brown,None,Grinding,Blue Beanie Light Brown Fur,None,Business Lighter Light Brown Fur,Beige Business Suit With Tie,Pin On Suit,None,None,Yes,None,None,None,None,Gc5VEF1QNY1NzkaEfLuXCWer4DuydtqAnHqYMXiqxbhf,763
13,Artist,Blue,None,Blue,Thug Glasses,White,Solana Headphones,Angry Mouth,Long Wavy White,None,Poker Cards White Fur,Banana Shirt,Abstract Canvas,None,None,Yes,None,Full Light Beard,None,None,9BSuDxrsrhjhsDGt1qGjkDFc6j9EJJuqXrCUiyBHRdSV,764
14,Farmer,Space 3,None,Red,Green-orange Glasses,Rainbow,Orange Pothat,Laughing,Long Wavy Rainbow,None,Metal Controller Rainbow Fur,Just Smoke It Tee,None,Double Piercing,Nose Piercing,None,Weedy With Glasses,Blonde Moustache,None,None,4gBwDHxXTWZHxs7pSyAv2vuUbCdxPAphKPuqjXT9mJMx,765
12,Businessman,Blue Gradient,None,Awake Green,Green Monocle,Light Brown,Blue Astro Helmet,Banana Joint,Long Wavy Light Brown,None,None,Beige Business Suit With Tie,Pin On Suit,None,None,Yes,Serious Weedy,None,None,None,NtRK6pNVrkQRfq5qVshnBxZvDc8b3hq6J4bruUjBZ7H,766
12,Farmer,Hippie 1,Tiny Sac,Black,None,Red Gradient,Grey Headphones,Smoking Joint,Smooth Long Red,None,Banana Pipe Red Fur,Pink Hippie Top,Questionmark,None,None,None,None,Full Light Beard,None,None,HAXxfNQeJEtn3EqnVQWa6aBLQTc6wbwAYamMGVdeDqjk,767
12,Farmer,Darkblue Gradient,None,Awake Green,Green Laser,Rainbow,Blue Beret,Money Joint,Smooth Long Rainbow,None,Green Donut Rainbow Fur,Green Farmer Small Checkered,None,None,Nose Piercing,Yes,None,None,None,None,HfBUCXGB3ow9H7ERC2416NnYW3JucKdJMCKRsj1xKiz,768
9,Farmer,Violet,None,Red,None,Light Blonde,None,Money Joint,Long Wavy Light Blonde,None,Watering Can Light Blonde Fur,Just Smoke It Tee,None,None,None,Yes,None,None,None,None,5yso76xsuL7xeRTPf2DmFQNpLSPZfdvERQgHVdD6DoxT,769
12,Businessman,Brown Plain,None,Angry,Red John Lennon Glasses,Light Blonde,Red Hairband,Sad,Facon Style Light Blonde,Necklace,Grey Controller Light Blonde Fur,Red Puff Puff Hoodie,None,Golden Earring,None,None,None,None,None,None,FCj1sVGcvqGKtwLyseK3b8V3nBqFdMvzcQpj1u99h5zZ,770
13,Businessman,Violet,None,Awake Green,Tear,Rainbow,None,Open,Yellow Beanie Rainbow Fur,None,Pink Donut Rainbow Fur,Beige Business Suit With Tie,Pin On Suit,Double Piercing,None,Yes,Yellow Parrot,None,None,None,FFhMG8bNWdQbBr7qMZEjZGoavrzSGanxxqhBazRKwqFs,771
10,Scientist,Lightbrown,None,Blue,Laser Eyes,Rainbow,None,Eating Pizza,Smooth Long Rainbow,None,Pink Donut Rainbow Fur,Blue Hodl Hoodie,None,None,None,None,None,None,Solana Trenchcoat,None,GLTMwgsDwMCpawWnTQd8VpWrygfh1vKinWAM6hA7RpM1,772
11,Chimpion,Lightbrown,None,Blue,Green Glasses,Red Gradient,Batiklila Hippie Hairband,Open,Facon Style Red,None,Metal Controller Red Fur,Leo Hippie Top,Questionmark,None,None,None,None,None,None,None,2YUnHW3fycufhEkyS7jiLJYgeuVEiBVBYPBcDFtdc5N3,773
11,Scientist,Lightbrown,None,Red,None,Light Blonde,Batiklila Hippie Hairband,Trifecta Joint,Facon Style Light Blonde,Necklace,Grey Controller Light Blonde Fur,Green Funky Tee,Questionmark,None,None,None,None,None,None,None,6iBf3WjbrXXvyCbFT6q45hxrM3GmCUxcgsNCXvvU4PHW,774
10,Chimpion,Blue,None,Black,None,Rainbow,Red Hairband,Laughing,Facon Style Rainbow,None,None,Green Funky Tee,None,Double Piercing,Nose Piercing,None,None,None,None,None,5Te7TRKAuiZpCJzqu2wbPTFZBJA6w4UcybGM5gX6uqnN,775
11,Scientist,Glass Pastel,None,Angry,None,Choc Brown,None,Open,Long Wavy Chocbrown,Hippie Necklace,Test Tube Chocbrown Fur,Lab Coat Red Tee,None,None,None,Yes,Happy Weedy,None,None,None,3oKJyjVRTRbApv9RbtNrC3HZERPr7dQStfN4vzFc3cKo,776
11,Artist,Green Gradient,None,Sad,None,Rainbow,Green Beret,Trifecta Joint,Long Wavy Rainbow,Hippie Necklace,Metal Controller Rainbow Fur,Weed Shirt,None,None,None,None,None,J Beard,None,None,942guiRo6ENacqEkbeW7J1QUcyTj1KmtpTuRzXwMwksL,777
10,Farmer,Solana,None,Awake Black,None,White,Orange Pothat,Rainbow Teeth,Smooth Long White,None,Farmer Scissors White Fur,Green Farmer Big Checkered,None,None,None,Yes,None,None,None,None,DFukEAEZ3gx9a1H5rBWGDuKHm4iZzfAGAwouhCbS3WZD,778
11,Scientist,Yellow,Solana,Blue,Tear,Leopard,Pothat,Rolled Joint,Long Wavy Leo,None,Joint Leo Fur,Samo Hoodie,None,None,None,None,None,None,None,None,EefyYKH6m19zrYmCZ6yS6Y4XLnG93i7DJzdmRiFShfY,779
11,Farmer,Glass Pastel,None,Awake Black,Laser Eyes,Red Gradient,None,Puffin,Backstreetboy Style Red,None,Watering Can,Brown Farmer Overall,None,Golden Earring,None,Yes,None,None,None,None,BvvQpkGezC6XDoL28mfqsS1ZzZDRA57NvVrnJyfmXA6F,780
11,Businessman,Yellow,Solana,Awake Green,None,Choc Brown,Batik Hippie Hairband,Rolled Joint,Facon Style Chocbrown,None,Pink Donut Chocbrown Fur,Sac Shirt,None,Double Piercing,None,None,None,None,None,None,96RCYwytPdGLeC2vJvAzRmc28Jfe1W5y6ezzpRUn4C7J,781
10,Farmer,Green Smoke,None,Red,None,Rainbow,Dark Grey Headphones,Biting,Smooth Long Rainbow,None,Farmer Scissors Rainbow Fur,Green Farmer Small Checkered,None,None,None,Yes,None,None,None,None,EyvzbBMejusyhF8R4qyzoQRtmwv4fVhHUo91BSL7RU6f,782
12,Artist,Green Gradient,None,Angry,Flashing Eyes,Light Brown,None,Rainbow Teeth,Pink Beanie Light Brown Fur,Necklace,Metal Controller Light Brown Fur,Sac Shirt,Questionmark,None,Nose Piercing,None,None,None,None,None,HhATw2piXtqkBTKmwvzkX75BrMTa3SBaPRBmCMeZrjKY,783
13,Scientist,Hippie 3,Tiny Sac,Blue,Solana Monocle,Red Gradient,Blue Beret,Eating Fries,None,None,Poker Cards Red Fur,Lab Coat Red Tee,None,Double Piercing,None,Yes,Blue Parrot,None,None,None,5PjtMPxhgiLDCfWbhh6Yda3KFD8RzTNHmhqW5sQqk19Y,784
14,Artist,Space 4,Tiny Sac,Angry,Green John Lennon Glasses,Rainbow,None,Rainbow Teeth,Yellow Beanie Rainbow Fur,Weed Chain,Pink Donut Rainbow Fur,Yellow Poloshirt,Abstract Canvas,None,Nose Piercing,Yes,None,None,None,None,TQ9RokLyt8m8wE6dFUq9417pNBr9adgZHzqyLVuhjdK,785
13,Artist,Yellow,None,Awake Green,Big Solana Glasses,White,None,Puffin,Blue Beanie White Fur,Hippie Necklace,Brownie & Joint White Fur,Samo Hoodie,Abstract Canvas,None,None,Yes,Yellow Parrot,None,None,None,Gu56kLuFrhxTf3NuFjAJLD5vgBCEuhTs6maGrTyinRhv,786
12,Chimpion,Space 4,None,Red,None,Light Brown,Banana Hairband,Rainbow Teeth,Facon Style Light Brown,Hippie Necklace,Metal Controller Light Brown Fur,Brown Hippie Top,Questionmark,None,None,None,Happy Weedy,None,None,None,GvCJeUh7WuXYoopceNYeEL9TWz4dYfQfdeiL5s5bG5pP,787
13,Artist,Space 2,None,Red,None,Light Blonde,Weed Hairband,Banana Joint,Facon Style Light Blonde,None,Green Donut Light Blonde Fur,Brown Hippie Top,Flamingo Bong,Double Piercing,Nose Piercing,None,None,Full Light Beard,None,None,7BAHKaSgpSUq8xCDzRY2wDXSAsoexkQddoGyHYFSAh1z,788
8,Artist,Yellow,None,Black,None,Dark Blonde,None,Eating Fries,Long Wavy Dark Blonde,None,None,Chef Custome,None,None,None,Yes,None,None,None,None,CRuiaaAjx1UnXnZ7SYhioA2cBJan5EnAcWaYXooPF4sM,789
10,Chimpion,Violet,None,Red,None,Leopard,Pothat,Eating Fries,Long Wavy Leo,None,Brownie Leo Fur,Red Puff Puff Hoodie,Questionmark,None,None,None,None,None,None,None,HPxY35xy6jsrHYkppP9tDzRxSTn3XfoKe3DWHRnLxha1,790
9,Farmer,Yellow,None,Red,None,Rainbow,None,Rolled Joint,Backstreetboy Style Rainbow,None,Farmer Scissors Rainbow Fur,Weed Shirt,None,None,None,Yes,None,None,None,None,8qh8oukQRLKvmNAAxnL2uoSX5sSH6v7gw6fhgZ86Mmhb,791
11,Chimpion,Light Solana Gradient,None,Awake Green,Green Laser,Light Brown,Weed Hairband,Mask Brown,Facon Style Light Brown,None,Pink Donut Light Brown Fur,Blue Weed Shirt,Flamingo Bong,None,None,None,None,None,None,None,9ovq8ncxS22C3G2mU9Dcf1tEzdJkkjoVcKroUjawnQZ1,792
11,Chimpion,Brown Plain,None,Sad,Green Hipster Glasses,Light Blonde,Solana Pothat,Banana Joint,None,None,Grey Controller Light Blonde Fur,Samo Hoodie,Flamingo Bong,None,None,None,None,Full Light Beard,None,None,6r7Dc4MNbWxEMpbzorLEG2Yz7Vai1kWGs4oAi8rmVX1R,793
11,Artist,Space 2,None,Blue,None,Light Brown,Dark Grey Headphones,Banana Joint,Long Wavy Light Brown,Weed Chain,Graffiti Spray Can Red Top Light Brown Fur,Green Shirt,None,None,None,Yes,None,None,None,None,7URqFbAaHo5GXkAa2ZF93LER8zPZeyhgg2HmmKm93CRJ,794
11,Chimpion,Brown Plain,None,Sad,None,Rainbow,None,Biting,Smooth Long Rainbow,None,Grey Controller Rainbow Fur,Green Poloshirt,Flamingo Bong,None,Nose Piercing,None,None,Brown French Moustache,None,None,FS14ybypHQiHrwcfwg7dNApCUWhL5gvh2Dw5q81rLduH,795
11,Farmer,Lightbrown,None,Black,None,White,None,Open,Blue Beanie White Fur,Weed Chain,Farmer Scissors White Fur,Banana Shirt,None,Double Piercing,None,Yes,None,None,None,None,CCobwPFvhqsu6xHyviVLkcwz72At7wXho61E1buUQrQx,796
12,Artist,Hippie 2,None,Red,None,Red Gradient,Red Hairband,Laughing,Facon Style Red,None,Graffiti Spray Can Blue Top Red Fur,Brown Hippie Top,Abstract Canvas,Double Piercing,None,Yes,None,None,None,None,328mes2CstAS3MqpgFFUKLNLTJwJVYQeo4st1ZDA2WtB,797
12,Artist,Light Solana Gradient,None,Awake Green,420 Googles,Light Brown,None,Rolled Joint,Blue Beanie Light Brown Fur,None,Green Donut Light Brown Fur,Blue Legalize Hoodie,Abstract Canvas,Paintbrush Behind Ear,None,Yes,None,None,None,None,84nFP6quTgTSpM4sF7dvTLcjL9XRhMV4XoSqahqWMjzU,798
12,Artist,Space 3,None,Blue,Tear,White,None,Gold Teeth,Backstreetboy Style White,None,Banana Pipe White Fur,Yellow Poloshirt With Color Splashes,Questionmark,Paintbrush Behind Ear,None,Yes,None,None,None,None,A9CufmTV75r4UgCfGDfxZKKxfm9K9QqoCjvebphjRLUT,799
13,Scientist,Lightbrown,Solana,Red,Laser Eyes,Choc Brown,None,Rainbow Teeth,Smooth Long Chocbrown,Hippie Necklace,Pink Donut Chocbrown Fur,Lab Coat Green Tee,Sciece Bong,None,None,Yes,None,None,None,None,E4JPt8qTM2ordzviYHXaAqXnfhwPaNifJLxXrnhH2PCM,800
10,Chimpion,Space 3,None,Black,None,Light Brown,Pink Hippie Hairband,Gentle Smile,Facon Style Light Brown,Weed Chain,Poker Cards Light Brown Fur,Blue Legalize Hoodie,None,None,None,None,None,None,None,None,EfuxydtTWHcnsZ16GuUMjvKzXF9psmNPPsHdnPjd1umd,801
14,Farmer,Green Smoke,None,Black,None,Choc Brown,Blue Beret,Gentle Smile,Long Wavy Chocbrown,Necklace,Pink Donut Chocbrown Fur,Green Farmer Small Checkered,Questionmark,None,Nose Piercing,Yes,Blue Parrot,None,None,None,6KGHXanFydaByhyMCdgQyScVZyE2wAF72ybhHaKqEsoq,802
10,Artist,Space 3,None,Black,Golden Glasses,Red Gradient,Pothat,Biting,None,None,Grey Controller Red Fur,Blue Weed Shirt,None,Double Piercing,None,None,None,None,None,None,FAKNapMSdKUnp6z2Be1HzbTfYFYLdrMYLtzLscrh9KQ1,803
14,Farmer,Blue Gradient,Tiny Sac,Red,None,Light Brown,Weed Hairband,Gentle Smile,Facon Style Light Brown,Hippie Necklace,Farmer Scissors Light Brown Fur,Yellow Poloshirt,None,Double Piercing,None,Yes,Serious Weedy,None,None,None,8JTUnVK8VsjrfTZZqwPuZUQxjJX17pNw1voT9bqaexT5,804
13,Scientist,Light Solana Gradient,None,Awake Black,None,Choc Brown,None,Puffin,Long Wavy Chocbrown,Hippie Necklace,Test Tube Chocbrown Fur,Lab Coat Solana Tie Suit,Sciece Bong,Golden Earring,Nose Piercing,Yes,None,None,None,None,5yJ1D92U5UgeBu3z4oAntffqEtDXqUeD1LH93rmd9w9u,805
11,Farmer,Green Gradient,None,Blue,Green Glasses,White,None,Banana Joint,Long Wavy White,None,Watering Can White Fur,Green Farmer Small Checkered,None,Golden Earring,None,Yes,None,None,None,None,Hk7zpztHcLWp7ZmtQYQ3hKLBmfFs8DW8hFFBE1mDTYn4,806
9,Scientist,Violet,None,Awake Green,None,Choc Brown,None,Puffin,Backstreetboy Style Chocbrown,None,Test Tube Chocbrown Fur,Lab Coat Solana Tie Suit,None,None,None,Yes,None,None,None,None,9MuJp9wAM2nn98oY6bp1xfxLGAmzAHR6rLuvhq1PyrJn,807
10,Scientist,Yellow,None,Blue,Green Glasses,Rainbow,Blue Astro Helmet,Open,Long Wavy Rainbow,None,Metal Controller Rainbow Fur,Leo Hippie Top,None,None,None,None,None,None,None,None,7fiFwTBTDumVpF6RMUfsYNtRu4Y2ZE3fEPg8SYkLTLx8,808
10,Businessman,Blue Gradient,None,Blue,None,Red Gradient,None,Sad,Backstreetboy Style Red,None,None,Grey Business Suit With Bow Tie & Hat,Questionmark,Double Piercing,None,Yes,None,None,None,None,FenpcQchjTj3D1p86fZ4JZ7Dvy5of52EFmv2724puKk9,809
12,Artist,Green Gradient,None,Awake Green,None,Red Gradient,Batik Hippie Hairband,Rainbow Teeth,Facon Style Red,Necklace,Metal Controller Red Fur,White Hodl Tee,Abstract Canvas,None,None,Yes,None,None,None,None,81AtPEufraGmVciURM7hVqdqBm2TETepuArANfgZros2,810
11,Farmer,Glass Pastel,Always Stoned,Black,None,Rainbow,Green Beret,Gentle Smile,None,None,Banana Pipe Rainbow Fur,Yellow Farmer Overall,Cannabis Plant,None,None,Yes,None,None,None,None,GnDUvAPubSsSFCengXNXfp6X1hsBofgktrv4oigS1R3H,811
12,Artist,Solana,Always Stoned,Black,None,Light Blonde,Orange Pothat,Grinding,Smooth Long Light Blonde,None,Graffiti Spray Can Red Top Light Blonde Fur,Weed Shirt,Abstract Canvas,None,None,Yes,None,None,None,None,98xcUucxWFZNVWF4ogU8hoBDXd4irbBfykg2EKDAtQPx,812
12,Businessman,Glass Pastel,None,Red,Green Laser,Light Brown,Solana Headphones,Grinding,Long Wavy Light Brown,None,Business Lighter Light Brown Fur,Business Suit With Red Tie,Pin On Suit,None,None,Yes,None,None,None,None,Gr6Zr2AgMXSnHtHwpUSbeyvoYXiRHngJQahN6gM8aJUu,813
11,Artist,Space 3,None,Blue,None,Light Brown,Blue Beret,Rainbow Teeth,Smooth Long Light Brown,Weed Chain,Graffiti Spray Can Red Top Light Brown Fur,Samo Hoodie,None,None,None,Yes,None,None,None,None,42Rma3hWSU1FSBi15KkK1bTJi9kPS8s8hwtXcv33W4VG,814
12,Artist,Lights,Tiny Sac,Awake Green,None,Light Brown,Blue Astro Helmet,Rainbow Teeth,None,None,Metal Controller Light Brown Fur,Pink Canna Jacket,Abstract Canvas,None,None,Yes,Serious Weedy,None,None,None,AqWmo49qVNpAJuEagLEgsbNFXY2gK7GDK66zXqEjWTny,815
10,Farmer,Blue,None,Red,None,Light Brown,Batik Hippie Hairband,Eating Pizza,Facon Style Light Brown,None,Farmer Scissors Light Brown Fur,White Hodl Tee,None,None,None,Yes,None,None,None,None,8sxntSPcbKTvcLS3ym1qSDejgqPWQkgMmzLdxCfCuxXb,816
11,Farmer,Blue,None,Black,420 Googles,White,None,Angry Mouth,Backstreetboy Style White,Necklace,Farmer Scissors White Fur,Blue Hodl Hoodie,None,None,None,Yes,None,None,None,None,6v6w8djpC3PDChdry6yWYvCpVypZFP9BA3GAw15UK6xd,817
12,Scientist,Yellow,None,Black,Bright Bue Eyes,Light Brown,None,Biting,Blue Beanie Light Brown Fur,Necklace,Banana Pipe Light Brown Fur,Lab Coat Solana Tie Suit,None,Double Piercing,None,Yes,None,None,None,None,AkpmSq5TFQQjUeG7GDgM1c9Tme2a1fPmtkiZG3vbPR3n,818
12,Scientist,Blue,Tiny Sac,Sad,Big Solana Glasses,Light Brown,None,Eating Pizza,Pink Beanie Light Brown Fur,None,Banana Pipe Light Brown Fur,Orange Poloshirt,Questionmark,None,Nose Piercing,None,None,None,None,None,BeLnRwPKCDFkehnsT8t7yQrUXxKAKtApgRKhA1vuSegS,819
10,Businessman,Blue Gradient,None,Black,Laser Eyes,Dark Blonde,None,Puffin,Long Wavy Dark Blonde,None,None,Violet Canna Jacket,None,Double Piercing,None,None,None,Light Beard,None,None,mGabpxgTkXFycHLPNiaB7CugdwhqDe9JRg4USjCSHQH,820
13,Artist,Glass Pastel,None,Black,None,White,None,Rainbow Teeth,Blue Beanie White Fur,Hippie Necklace,Poker Cards White Fur,Striped Shirt With Color Splashes,Questionmark,Paintbrush Behind Ear,None,Yes,Blue Parrot,None,None,None,5j1ypF9DzGd7gERVj1e3BvQPpBDXAUmS4omFLD6oTtqG,821
11,Farmer,Blue,None,Red,Laser Eyes,Red Gradient,None,Laughing,Backstreetboy Style Red,None,Farmer Scissors Red Fur,Yellow Poloshirt,Cannabis Plant,None,None,Yes,None,None,None,None,C7YP7wBQCB5jhJqgK7P9P5fVWZ3rpYEY4dMoXa1NavW,822
12,Chimpion,Blue Gradient,None,Red,Bright Bue Eyes,Light Brown,Batiklila Hippie Hairband,Biting,Facon Style Light Brown,Hippie Necklace,Poker Cards Light Brown Fur,Orange Poloshirt,Questionmark,None,None,None,None,None,None,None,5XJjgRuh9Zpfip5qbxxESwxjGdnNfrBpiFJtoXRuE4im,823
